configuration,Recall,Precision,F1
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""MLP""}_",0.72,0.73,0.71
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.1, ""classifier"": ""NaiveBayes""}_",0.71,0.72,0.69
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""NaiveBayes""}_",0.7,0.7,0.69
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.1, ""classifier"": ""GradientBoost""}_",0.71,0.71,0.69
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""NaiveBayes""}_",0.7,0.67,0.68
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.1, ""classifier"": ""NaiveBayes""}_",0.66,0.77,0.67
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""KNN""}_",0.68,0.66,0.66
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""NaiveBayes""}_",0.65,0.72,0.66
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""KNN""}_",0.68,0.68,0.66
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.1, ""classifier"": ""GradientBoost""}_",0.66,0.72,0.66
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.1, ""classifier"": ""KNN""}_",0.65,0.72,0.65
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""GradientBoost""}_",0.64,0.65,0.63
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.1, ""classifier"": ""KNN""}_",0.66,0.64,0.62
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""GradientBoost""}_",0.63,0.6,0.61
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""GradientBoost""}_",0.63,0.62,0.61
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""NaiveBayes""}_",0.57,0.65,0.57
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.1, ""classifier"": ""RandomForest""}_",0.58,0.66,0.57
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.1, ""classifier"": ""RandomForest""}_",0.54,0.6,0.55
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""RandomForest""}_",0.53,0.53,0.51
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""RandomForest""}_",0.5,0.49,0.49
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""RandomForest""}_",0.5,0.49,0.48
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""RandomForest""}_",0.53,0.46,0.48
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""DT""}_",0.49,0.46,0.47
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.1, ""classifier"": ""DT""}_",0.46,0.48,0.46
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.1, ""classifier"": ""DT""}_",0.46,0.45,0.44
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""DT""}_",0.4,0.43,0.4
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""DT""}_",0.39,0.42,0.39
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""DT""}_",0.34,0.39,0.35
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.1, ""classifier"": ""GradientBoost""}_",0.22,0.31,0.23
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""GradientBoost""}_",0.22,0.25,0.22
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""Adaboost""}_",0.3,0.26,0.22
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""NaiveBayes""}_",0.21,0.21,0.2
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""RandomForest""}_",0.19,0.19,0.19
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.1, ""classifier"": ""Adaboost""}_",0.25,0.17,0.19
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""DT""}_",0.19,0.18,0.18
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.1, ""classifier"": ""RandomForest""}_",0.2,0.18,0.18
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.1, ""classifier"": ""SVM""}_",0.2,0.15,0.17
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.1, ""classifier"": ""KNN""}_",0.17,0.21,0.17
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""GradientBoost""}_",0.18,0.18,0.17
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""NaiveBayes""}_",0.16,0.15,0.16
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""RandomForest""}_",0.17,0.2,0.16
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.1, ""classifier"": ""MLP""}_",0.15,0.16,0.15
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""MLP""}_",0.15,0.16,0.15
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""Adaboost""}_",0.2,0.18,0.14
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""MLP""}_",0.14,0.15,0.14
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""DT""}_",0.13,0.15,0.14
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""KNN""}_",0.14,0.14,0.14
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.1, ""classifier"": ""DT""}_",0.14,0.14,0.13
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""KNN""}_",0.13,0.13,0.12
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.1, ""classifier"": ""Adaboost""}_",0.23,0.07,0.11
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""Adaboost""}_",0.2,0.09,0.1
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""SVM""}_",0.12,0.08,0.1
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""SVM""}_",0.12,0.11,0.1
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.1, ""classifier"": ""Adaboost""}_",0.15,0.09,0.1
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""Adaboost""}_",0.21,0.08,0.1
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.1, ""classifier"": ""NaiveBayes""}_",0.08,0.08,0.08
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.2, ""classifier"": ""Adaboost""}_",0.12,0.06,0.05
"data.jsonpreprocessing_{""data_model"": ""Metadata""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""Adaboost""}_",0.12,0.02,0.04
